"transaction_id","date","amount","transaction_card","id_merchant","credit_card","cardholder_id","card_holder_id","card_holder_name"
2945,"2018-12-13 15:51:59","2249","3516952396080247",83,"3516952396080247","7",7,"Sean Taylor"
2710,"2018-04-21 19:41:51","2108","3581345943543942",130,"3581345943543942","6",6,"Beth Hernandez"
3125,"2018-09-02 06:17:00","2001.0000000000002","3581345943543942",18,"3581345943543942","6",6,"Beth Hernandez"
2597,"2018-11-13 17:07:25","1911","5570600642865857",77,"5570600642865857","16",16,"Crystal Clark"
3064,"2018-05-08 13:21:01","1901.0000000000002","30142966699187",108,"30142966699187","24",24,"Stephanie Dalton"
3163,"2018-12-07 07:22:03","1894.0000000000002","4761049645711555811",9,"4761049645711555811","1",1,"Robert Johnson"
2984,"2018-09-11 15:16:47","1855.9999999999998","3581345943543942",138,"3581345943543942","6",6,"Beth Hernandez"
3098,"2018-02-19 22:48:25","1839","344119623920892",95,"344119623920892","18",18,"Malik Carlson"
3139,"2018-06-03 20:02:28","1814","344119623920892",123,"344119623920892","18",18,"Malik Carlson"
2582,"2018-06-22 06:16:50","1813","4319653513507",40,"4319653513507","25",25,"Nancy Contreras"
2508,"2018-07-26 23:02:51","1803","5570600642865857",68,"5570600642865857","16",16,"Crystal Clark"
2760,"2018-11-27 15:36:05","1802","501879657465",70,"501879657465","12",12,"Megan Price"
3143,"2018-06-10 04:54:27","1795","30181963913340",45,"30181963913340","9",9,"Laurie Gibbs"
2497,"2018-09-04 01:35:39","1789.9999999999998","4761049645711555811",43,"4761049645711555811","1",1,"Robert Johnson"
3252,"2018-11-17 05:30:43","1769.0000000000002","344119623920892",18,"344119623920892","18",18,"Malik Carlson"
2696,"2018-12-19 16:10:03","1723.9999999999998","30181963913340",105,"30181963913340","9",9,"Laurie Gibbs"
2913,"2018-01-24 13:17:19","1691","4761049645711555811",14,"4761049645711555811","1",1,"Robert Johnson"
2650,"2018-01-04 03:05:18","1685.0000000000002","3516952396080247",80,"3516952396080247","7",7,"Sean Taylor"
2667,"2018-01-23 06:29:37","1678","501879657465",92,"501879657465","12",12,"Megan Price"
2672,"2018-11-27 17:27:34","1660.0000000000002","4761049645711555811",29,"4761049645711555811","1",1,"Robert Johnson"
2520,"2018-12-24 15:55:06","1634","5570600642865857",7,"5570600642865857","16",16,"Crystal Clark"
2451,"2018-03-05 08:26:08","1617.0000000000002","5570600642865857",4,"5570600642865857","16",16,"Crystal Clark"
3318,"2018-06-27 01:27:09","1592","501879657465",136,"501879657465","12",12,"Megan Price"
2789,"2018-03-04 15:50:53","1534","30181963913340",118,"30181963913340","9",9,"Laurie Gibbs"
2610,"2018-03-12 00:44:01","1530","501879657465",20,"501879657465","12",12,"Megan Price"
1424,"2018-08-07 11:07:32","1449","3516952396080247",61,"3516952396080247","7",7,"Sean Taylor"
2699,"2018-02-17 01:27:19","1430","5570600642865857",71,"5570600642865857","16",16,"Crystal Clark"
3225,"2018-07-03 14:56:36","1398","3581345943543942",8,"3581345943543942","6",6,"Beth Hernandez"
1459,"2018-08-05 01:06:38","1379","3581345943543942",145,"3581345943543942","6",6,"Beth Hernandez"
2840,"2018-03-06 07:18:09","1334","4319653513507",87,"4319653513507","25",25,"Nancy Contreras"
2752,"2018-07-31 05:15:17","1302","4761049645711555811",111,"4761049645711555811","1",1,"Robert Johnson"
2461,"2018-12-21 09:56:32","1301","30142966699187",96,"30142966699187","24",24,"Stephanie Dalton"
1318,"2018-12-18 17:20:33","1296","3516952396080247",87,"3516952396080247","7",7,"Sean Taylor"
1408,"2018-11-27 17:20:29","1279","3581345943543942",134,"3581345943543942","6",6,"Beth Hernandez"
1757,"2018-05-29 02:55:08","1203","5570600642865857",62,"5570600642865857","16",16,"Crystal Clark"
1395,"2018-10-07 18:29:20","1179","30181963913340",106,"30181963913340","9",9,"Laurie Gibbs"
1415,"2018-01-30 18:31:00","1177","4319653513507",64,"4319653513507","25",25,"Nancy Contreras"
1431,"2018-09-10 22:49:41","1176","344119623920892",72,"344119623920892","18",18,"Malik Carlson"
1790,"2018-06-04 03:46:15","1162","4319653513507",96,"4319653513507","25",25,"Nancy Contreras"
1349,"2018-07-14 06:09:18","1160","30078299053512",136,"30078299053512","3",3,"Elizabeth Sawyer"
1334,"2018-07-11 16:55:22","1159","30078299053512",107,"30078299053512","3",3,"Elizabeth Sawyer"
1326,"2018-12-13 12:09:58","1154","344119623920892",8,"344119623920892","18",18,"Malik Carlson"
1842,"2018-02-27 15:27:32","1145","3581345943543942",33,"3581345943543942","6",6,"Beth Hernandez"
1442,"2018-01-22 08:07:03","1131","5570600642865857",144,"5570600642865857","16",16,"Crystal Clark"
1204,"2018-11-25 20:44:07","1123","501879657465",59,"501879657465","12",12,"Megan Price"
1005,"2018-03-01 21:29:05","1119","30078299053512",19,"30078299053512","3",3,"Elizabeth Sawyer"
1348,"2018-07-24 22:42:00","1108","3581345943543942",35,"3581345943543942","6",6,"Beth Hernandez"
1129,"2018-06-28 21:13:52","1108","501879657465",35,"501879657465","12",12,"Megan Price"
1191,"2018-06-17 15:59:45","1103","5570600642865857",23,"5570600642865857","16",16,"Crystal Clark"
1622,"2018-06-21 13:16:25","1102","501879657465",128,"501879657465","12",12,"Megan Price"
1520,"2018-09-25 23:23:21","1095","30181963913340",62,"30181963913340","9",9,"Laurie Gibbs"
1827,"2018-04-18 23:23:29","1086","3516952396080247",26,"3516952396080247","7",7,"Sean Taylor"
1359,"2018-04-03 03:23:37","1077","344119623920892",100,"344119623920892","18",18,"Malik Carlson"
1856,"2018-09-23 19:20:23","1075","501879657465",13,"501879657465","12",12,"Megan Price"
1863,"2018-12-18 13:33:37","1074","4319653513507",67,"4319653513507","25",25,"Nancy Contreras"
1480,"2018-02-19 16:00:43","1072","3516952396080247",49,"3516952396080247","7",7,"Sean Taylor"
1341,"2018-04-08 06:03:50","1063","4319653513507",16,"4319653513507","25",25,"Nancy Contreras"
968,"2018-09-26 08:48:40","1060","4761049645711555811",134,"4761049645711555811","1",1,"Robert Johnson"
1536,"2018-09-06 21:55:02","1056","4761049645711555811",36,"4761049645711555811","1",1,"Robert Johnson"
1629,"2018-11-20 05:24:28","1054","30078299053512",22,"30078299053512","3",3,"Elizabeth Sawyer"
1549,"2018-10-19 01:07:37","1053","30078299053512",10,"30078299053512","3",3,"Elizabeth Sawyer"
1377,"2018-05-13 06:31:20","1046","4319653513507",48,"4319653513507","25",25,"Nancy Contreras"
