"transaction_id","date","amount","transaction_card","id_merchant","credit_card","cardholder_id","card_holder_id","card_holder_name"
3368,"2018-03-12 21:31:02","1.62","501809222273",70,"501809222273","22",22,"Austin Johnson"
2326,"2018-08-15 19:32:31","1.29","501809222273",129,"501809222273","22",22,"Austin Johnson"
3441,"2018-04-27 18:19:37","1.97","501809222273",77,"501809222273","22",22,"Austin Johnson"
772,"2018-09-25 23:28:54","1.48","501809222273",19,"501809222273","22",22,"Austin Johnson"
3458,"2018-06-18 14:11:39","1.42","501809222273",140,"501809222273","22",22,"Austin Johnson"
845,"2018-04-22 04:22:49","1.81","501809222273",116,"501809222273","22",22,"Austin Johnson"
2073,"2018-08-27 21:38:29","1.79","501809222273",14,"501809222273","22",22,"Austin Johnson"
2184,"2018-08-04 14:32:39","1.92","3581345943543942",8,"3581345943543942","6",6,"Beth Hernandez"
1988,"2018-06-01 10:25:22","1.92","4159836738768855913",41,"4159836738768855913","6",6,"Beth Hernandez"
3486,"2018-05-06 10:34:04","1.5","4159836738768855913",74,"4159836738768855913","6",6,"Beth Hernandez"
2434,"2018-11-17 04:59:45","1.3","4159836738768855913",124,"4159836738768855913","6",6,"Beth Hernandez"
750,"2018-02-17 05:55:46","1.27","3581345943543942",48,"3581345943543942","6",6,"Beth Hernandez"
1943,"2018-10-22 13:46:10","1.92","4159836738768855913",127,"4159836738768855913","6",6,"Beth Hernandez"
782,"2018-05-30 08:27:41","0.59","4027907156459098",49,"4027907156459098","11",11,"Brandon Pineda"
1985,"2018-08-26 20:31:14","1.78","4644008655884311378",134,"4644008655884311378","11",11,"Brandon Pineda"
2368,"2018-03-07 04:00:16","1.41","180098539019105",50,"180098539019105","11",11,"Brandon Pineda"
659,"2018-08-18 13:30:26","1.32","180098539019105",102,"180098539019105","11",11,"Brandon Pineda"
2381,"2018-08-15 10:04:32","1.59","4644008655884311378",141,"4644008655884311378","11",11,"Brandon Pineda"
758,"2018-01-17 06:36:33","1.02","180098539019105",147,"180098539019105","11",11,"Brandon Pineda"
2099,"2018-11-05 16:16:50","1.46","4027907156459098",63,"4027907156459098","11",11,"Brandon Pineda"
2044,"2018-01-22 11:52:29","1.67","180098539019105",30,"180098539019105","11",11,"Brandon Pineda"
792,"2018-05-10 05:22:41","1.93","4644008655884311378",69,"4644008655884311378","11",11,"Brandon Pineda"
693,"2018-04-16 19:44:12","1.67","180098539019105",37,"180098539019105","11",11,"Brandon Pineda"
2433,"2018-12-18 16:12:08","1.64","180098539019105",106,"180098539019105","11",11,"Brandon Pineda"
855,"2018-09-26 08:50:53","1.19","4027907156459098",75,"4027907156459098","11",11,"Brandon Pineda"
861,"2018-04-06 16:57:28","1.02","180098539019105",50,"180098539019105","11",11,"Brandon Pineda"
1992,"2018-12-17 06:29:25","1.28","4644008655884311378",89,"4644008655884311378","11",11,"Brandon Pineda"
588,"2018-11-30 00:50:23","1.8","180098539019105",126,"180098539019105","11",11,"Brandon Pineda"
869,"2018-09-02 19:10:09","0.62","180098539019105",112,"180098539019105","11",11,"Brandon Pineda"
871,"2018-02-18 17:48:32","1.7","180098539019105",63,"180098539019105","11",11,"Brandon Pineda"
542,"2018-10-23 10:56:18","1.62","180098539019105",38,"180098539019105","11",11,"Brandon Pineda"
3485,"2018-03-24 18:16:00","1.81","4027907156459098",119,"4027907156459098","11",11,"Brandon Pineda"
645,"2018-06-26 06:14:45","1.36","4644008655884311378",12,"4644008655884311378","11",11,"Brandon Pineda"
853,"2018-07-01 20:25:48","1.03","4027907156459098",19,"4027907156459098","11",11,"Brandon Pineda"
785,"2018-11-30 09:08:26","1.53","503842928916",2,"503842928916","16",16,"Crystal Clark"
635,"2018-04-13 04:50:37","0.54","5500708021555307",150,"5500708021555307","16",16,"Crystal Clark"
725,"2018-07-24 10:05:43","0.89","5500708021555307",27,"5500708021555307","16",16,"Crystal Clark"
825,"2018-08-25 00:07:04","1.51","503842928916",100,"503842928916","16",16,"Crystal Clark"
3436,"2018-02-09 07:38:19","1.16","503842928916",12,"503842928916","16",16,"Crystal Clark"
3498,"2018-01-11 09:58:11","1.62","5500708021555307",149,"5500708021555307","16",16,"Crystal Clark"
2171,"2018-06-19 08:34:09","1.46","503842928916",125,"503842928916","16",16,"Crystal Clark"
608,"2018-01-10 03:17:20","0.87","503842928916",129,"503842928916","16",16,"Crystal Clark"
2392,"2018-08-11 02:47:15","1.65","5570600642865857",36,"5570600642865857","16",16,"Crystal Clark"
2173,"2018-09-03 19:37:21","1.69","503842928916",36,"503842928916","16",16,"Crystal Clark"
552,"2018-03-21 08:07:16","1.77","5570600642865857",51,"5570600642865857","16",16,"Crystal Clark"
602,"2018-01-10 15:56:41","1.22","503842928916",27,"503842928916","16",16,"Crystal Clark"
811,"2018-04-18 06:51:00","0.56","5500708021555307",50,"5500708021555307","16",16,"Crystal Clark"
759,"2018-08-06 15:31:03","1.99","5500708021555307",140,"5500708021555307","16",16,"Crystal Clark"
537,"2018-11-09 09:18:16","1.51","5500708021555307",114,"5500708021555307","16",16,"Crystal Clark"
2227,"2018-02-24 11:53:11","1.13","503842928916",134,"503842928916","16",16,"Crystal Clark"
538,"2018-01-23 08:18:10","1.48","5500708021555307",35,"5500708021555307","16",16,"Crystal Clark"
2194,"2018-08-30 02:39:27","1.22","5500708021555307",34,"5500708021555307","16",16,"Crystal Clark"
2010,"2018-07-07 17:26:40","1.89","503842928916",30,"503842928916","16",16,"Crystal Clark"
632,"2018-09-22 16:17:08","0.83","4279104135293225293",79,"4279104135293225293","21",21,"Dana Washington"
534,"2018-07-14 19:07:59","1.14","4279104135293225293",74,"4279104135293225293","21",21,"Dana Washington"
1982,"2018-10-01 14:17:10","1.31","4279104135293225293",42,"4279104135293225293","21",21,"Dana Washington"
644,"2018-08-18 15:34:57","1.56","4279104135293225293",131,"4279104135293225293","21",21,"Dana Washington"
2155,"2018-03-04 12:58:48","1.94","584226564303",117,"584226564303","4",4,"Danielle Green"
684,"2018-05-20 09:22:21","1.29","584226564303",8,"584226564303","4",4,"Danielle Green"
3464,"2018-05-12 16:10:59","1.56","584226564303",56,"584226564303","4",4,"Danielle Green"
